0,1,2,3,4,5,6,7,8,9
Lepa RadaH,793.38,262.97,280.83,154.92,698.72,88.07,-10.66,1.91,
LohitH,"3,179.69",651.54,"1,208.44",533.17,"2,393.15",75.26,-2.54,18.10,
LongdingH,963.82,159.63,247.26,223.19,630.08,65.37,-9.80,28.75,
Lower Dibang,,,,,,,,,
,"3,700.43",568.59,"1,403.75",619.00,"2,591.34",70.03,12.66,28.96,
ValleyH,,,,,,,,,
Lower SiangH,"1,937.79",622.49,579.06,517.16,"1,718.71",88.69,-9.02,1.71,
Lower SubansiriH,"1,961.20",778.50,736.78,247.99,"1,763.27",89.91,-14.99,5.82,
NamsaiH,"1,160.22",112.64,344.73,282.97,740.34,63.81,7.84,12.52,
Pakke KessangH,"1,971.76",657.15,817.57,308.63,"1,783.35",90.44,-11.46,9.67,
Papum PareH,"3,451.19",971.56,"1,436.02",769.59,"3,177.17",92.06,-5.40,5.53,
Shi YomiH,"2,992.06",939.23,863.57,428.18,"2,230.98",74.56,35.45,42.07,
TawangH,"2,460.79",328.64,421.98,405.36,"1,155.98",46.98,-6.84,263.15,
TirapH,"1,056.44",421.02,257.92,161.23,840.17,79.53,-37.78,21.85,
Upper SiangH,"6,702.54","1,607.91","2,520.93","1,279.73","5,408.57",80.69,2.54,127.20,
Upper SubansiriH,"5,992.05","1,856.39","2,508.89","1,187.40","5,552.68",92.67,16.23,57.18,
West KamengH,"5,036.98","1,418.12","1,919.89",974.47,"4,312.48",85.62,-9.43,77.07,
West SiangH,"1,661.27",336.48,530.85,355.09,"1,222.42",73.58,-20.01,0.71,
Grand Total,"83,743.22","20,985.32","29,615.09","15,281.16","65,881.57",78.67,-91.17,"1,058.98",
*,Area figure calculated without normalization factor.,,,,,,,,
,,ARUNACHAL PRADESH,,,,,,,
,10.2.2 Forest  Cover Inside and Outside Recorded Forest Area,,,,,,,,
,(or Green Wash),,,,,,,,
,The Forest Cover inside and outside Recorded Forest Area (RFA) has been analysed in different,,,,,,,,
,categories and presented in table given below.,,,,,,,,
,Table 10.2.4 Forest Cover Inside and Outside Recorded Forest Area,,,,,,,,
,(or Green Wash) in Arunachal Pradesh,,,,,,,,
,,(km2),,,,,,,
,Forest Cover Inside the Recorded Forest Area,Forest Cover Outside the Recorded Forest Area,,,,,,,
,(or Green Wash),(or Green Wash),,,,,,,
,"VDF
MDF
OF
Total","VDF
MDF
OF
Total",,,,,,,
"19,637.05","26,699.94
11,836.97","1,348.27
2,915.15
3,444.19",,,,,,,
,"58,173.96","7,707.61",,,,,,,
33.75%,"45.90%
20.35%","17.49%
37.82%
44.69%",,,,,,,
"*
I
n","case of Arunachal Pradesh, Green Wash boundaries have been used.",,,,,,,,
,Figure 10.2.2 Forest Cover Inside and Outside of Green Wash in Arunachal Pradesh,,,,,,,,
"18
Forest Survey of India",,,,,,,,,
,Table 10.2.5 Forest Cover Change Matrix Inside RFA/GW for,,,,,,,,
,Arunachal Pradesh between 2021 Raster based and 2023,,,,,,,,
Assessments,,,,,,,,,
,,,,,,(km2),,,
,,,2023 Assessment inside RFA/GW,,,Total ISFR,,,
,,,,,,2021 inside,,,
Class,,,,,,,,,
,VDF,MDF,OF,Scrub,NF,RFA / GW,,,
,,,,,,Raster based*,,,
VDF,"18,811.88",644.64,105.40,0.68,70.41,"19,633.01",,,
MDF,687.69,"25,540.34",399.37,5.31,234.51,"26,867.22",,,
OF,137.48,514.96,"10,643.77",47.90,375.47,"11,719.58",,,
Scrub,0.00,0.00,67.43,315.45,28.00,410.88,,,
NF,0.00,0.00,621.00,75.64,"4,424.67","5,121.31",,,
Total ISFR,,,,,,,,,
2023 inside,"19,637.05","26,699.94","11,836.97",444.98,"5,133.06","63,752.00",,,
RFA/GW,,,,,,,,,
Net Change,4.04,-167.28,117.39,34.10,11.75,,,,
*Area figure calculated without normalization factor.,,,,,,,,,
,,,,,,(km2),,,
Altitude Zone,Calculated,,,,,,,,
,,VDF,MDF,OF,Total,Scrub,,,
(m),Area by SoI,,,,,,,,
0-500,"10,586.00","1,513.41","2,974.68","2,604.76","7,092.85",104.38,,,
500-1000,"10,945.39","3,052.87","4,135.03","2,510.73","9,698.63",42.48,,,
1000-2000,"23,601.17","8,003.61","9,686.40","4,149.84","21,839.85",61.69,,,
2000-3000,"18,023.58","5,909.68","7,880.78","2,600.41","16,390.87",104.85,,,
3000-4000,"13,557.10","2,223.54","4,122.52","2,624.96","8,971.02",340.19,,,
> 4000,"7,029.98",282.21,815.68,790.46,"1,888.35",405.39,,,
Total,"83,743.22","20,985.32","29,615.09","15,281.16","65,881.57","1,058.98",,,
"(based on SRTM, Digital Elevation Model, 30 m, 2016).",,,,,,,,,
,Arunachal Pradesh,,,,,,,,
,,,,,,(km2),,,
Slope,Calculated,,,,,,,,
,,VDF,MDF,OF,Total,Scrub,,,
(in degrees),Area by SoI,,,,,,,,
0-5,"7,415.45",753.85,"1,832.36","1,575.49","4,161.70",110.46,,,
5-10,"5,576.63","1,408.48","1,905.15","1,034.53","4,348.16",69.35,,,
10-15,"8,572.66","2,367.13","3,012.14","1,541.01","6,920.28",103.94,,,
15-20,"11,261.99","3,150.70","4,028.99","2,007.33","9,187.02",136.22,,,
20-25,"12,496.47","3,442.61","4,528.12","2,226.78","10,197.51",155.41,,,
25-30,"12,206.77","3,277.63","4,477.54","2,188.47","9,943.64",153.86,,,
>30,"26,213.25","6,584.92","9,830.79","4,707.55","21,123.26",329.74,,,
Total,"83,743.22","20,985.32","29,615.09","15,281.16","65,881.57","1,058.98",,,
"(based on SRTM, Digital Elevation Model, 30 m, 2016).",,,,,,,,,
Pradesh,,,,,,,,,
,,,(km2),,,,,,
,,,% of the total,,,,,,
Sl. No.,Forest Type,Area,,,,,,,
,,,mapped area*,,,,,,
1,1B/C1 Assam Valley tropical wet evergreen forest (Dipterocarpus),"1,453.35",2.03,,,,,,
2,1B/C2a Kayea forest,751.37,1.05,,,,,,
3,1/2S1 Pioneer Euphorbiaceous scrub,238.23,0.33,,,,,,
4,2B/ C1a Assam alluvial plains semi-evergreen forest,"4,010.17",5.61,,,,,,
5,2B/C1b Eastern sub-montane semi-evergreen forest,"2,430.47",3.40,,,,,,
6,2B/C1/1S1 Sub-Himalayan light alluvial semi-evergreen forest,"3,996.57",5.59,,,,,,
7,2B/C1/2S2 Eastern alluvial secondary semi-evergreen forest,"3,773.66",5.28,,,,,,
8,2/2S1 Secondary moist bamboo brakes,"1,114.03",1.56,,,,,,
9,3C/C3/2S2 Secondary Euphorbiaceous scrub,28.34,0.04,,,,,,
10,3/1S2b Terminalia-Duabanga,911.97,1.28,,,,,,
11,8B/C1 East Himalayan subtropical wet hill forest,"15,259.14",21.36,,,,,,
12,8B/C2 Khasi subtropical wet hill forest,"1,210.22",1.69,,,,,,
13,9/C2 Assam subtropical pine forest,744.38,1.04,,,,,,
14,11B/C1 East Himalayan wet temperate forest,"15,681.90",21.95,,,,,,
15,12/C1f Low-level blue pine forest (P. wallichiana),243.61,0.33,,,,,,
16,12/C3a East Himalayan mixed coniferous forest,"5,165.02",7.23,,,,,,
17,12/DS1 Montane bamboo brakes,138.03,0.19,,,,,,
18,13/C6 East Himalayan dry temperate coniferous forest,663.89,0.93,,,,,,
19,14/C2 East Himalayan sub-alpine birch/fir forest,"7,576.68",10.61,,,,,,
20,15/C1 Birch/Rhododendron scrub forest,494.39,0.70,,,,,,
21,16/C1 Dry alpine scrub,491.22,0.69,,,,,,
Sub Total,,"66,376.64",92.89,,,,,,
22,TOF/ Plantation,563.91,0.79,,,,,,
Total (Forest Cover & Scrub),,"66,940.55",93.68,,,,,,
Grassland forest type (outside forest cover),,,,,,,,,
23,9/C2/DS1 Assam subtropical pine savannah,17.48,0.03,,,,,,
24,12/DS3 Himalayan temperate pastures,256.30,0.36,,,,,,
25,15/C3 Alpine pastures,"4,231.29",5.93,,,,,,
,Sub Total,"4,505.07",6.32,,,,,,
,Grand Total,"71,445.62",100.00,,,,,,
*Forest Types have been assigned to the natural forest formations under forest cover and scrub categories shown in,,,,,,,,,
Table 10.2.10 District-wise Number of Forest Fire Detected,,,,,,,,,
,,SNPP-VIIRS Detection,SNPP-VIIRS Detection,,,,,,
Sl. No.,District,,,,,,,,
,,during 2022-23,during 2023-24,,,,,,
1,Anjaw,107,57,,,,,,
2,Changlang,426,290,,,,,,
3,Dibang Valley,79,137,,,,,,
4,East Kameng,90,42,,,,,,
5,East Siang,86,84,,,,,,
6,Kamle,13,16,,,,,,
7,Kra Daadi,17,12,,,,,,
8,Kurung Kumey,5,10,,,,,,
9,Lepa Rada,41,22,,,,,,
10,Lohit,153,130,,,,,,
11,Longding,250,132,,,,,,
12,Lower Dibang Valley,76,94,,,,,,
13,Lower Siang,29,32,,,,,,
14,Lower Subansiri,90,83,,,,,,
15,Namsai,211,120,,,,,,
16,Pakke Kessang,48,54,,,,,,
17,Papum Pare,141,116,,,,,,
18,Shi Yomi,16,6,,,,,,
19,Siang,23,19,,,,,,
20,Tawang,20,42,,,,,,
21,Tirap,88,105,,,,,,
22,Upper Siang,16,24,,,,,,
23,Upper Subansiri,27,32,,,,,,
24,West Kameng,317,337,,,,,,
25,West Siang,78,57,,,,,,
,Total,"2,447","2,053",,,,,,
,Table 10.2.11 Forest Fire Prone Classes,,,,,,,,
Sl. No.,Forest Fire Prone Classes,Forest Cover*,% of Total Forest Cover,,,,,,
1,Extremely fire prone,26.52,0.04,,,,,,
2,Very highly fire prone,122.04,0.18,,,,,,
3,Highly fire prone,"1,074.78",1.61,,,,,,
4,Moderately fire prone,"3,007.80",4.49,,,,,,
5,Less fire prone,"62,709.41",93.68,,,,,,
,Total,"66,940.55",100.00,,,,,,
"*
 
Forest Cover including Scrub.",,,,,,,,,
RFA,,,,,,,,,
Sl. No.,Species,No. of Trees (in ‘000),Volume (M m3),,,,,,
1,Castanopsis species,"81,536",51.34,,,,,,
2,Macaranga species,"53,663",10.45,,,,,,
3,"F
i
cus species","35,333",11.14,,,,,,
4,Quercus species,"34,432",20.41,,,,,,
5,Castanopsis indica,"26,233",8.94,,,,,,
Table 10.2.16 Major Invasive Species in the State Inside the RFA in,,,,,,,,,
Arunachal Pradesh,,,,,,,,,
Sl. No.,,Species,Estimated Extent (km2),,,,,,
1,Chromolaena odorata,,"2,988.72",,,,,,
2,"M
i
kania micrantha",,"2,418.45",,,,,,
3,Lantana camara,,532.81,,,,,,
4,"I
mperata cylindrica",,437.07,,,,,,
5,Ageratum conyzoides,,378.79,,,,,,
Geographical Area,,,,,,,,,
"78,438 km2",,,,,,,,,
Geographical Coordinates,,,,,,,,,
Latitude 24◦07’ N to 28◦00’ N,,,,,,,,,
Longitude 89◦42’ E to 96◦02’ E,,,,,,,,,
Population (as per Census 2011),,,,,,,,,
31.21 million,,,,,,,,,
Urban 4.40 million (14.10 %),,,,,,,,,
Rural 26.81 million (85.90 %),,,,,,,,,
Tribal 3.88 million (12.45 %),,,,,,,,,
Average Population Density,,,,,,,,,
398 per km2,,,,,,,,,
Livestock Population,,,,,,,,,
(as per 19th Livestock Census),,,,,,,,,
19.08 million,,,,,,,,,
No. of Districts,,,,,,,,,
33,,,,,,,,,
No. of Hill Districts,,,,,,,,,
5,,,,,,,,,
No. of Tribal Districts,,,,,,,,,
19,,,,,,,,,
Table 10.3.1 Land Use Pattern,,,,,,,,,
Land Use Types,Area (in ‘000 ha),Percentage,,,,,,,
Geographical Area,"7,844",,,,,,,,
Reporting area for land utilization,"7,831.03",100.00,,,,,,,
Forests,"1,828.94",23.36,,,,,,,
Not available for land cultivation,"2,507.17",32.01,,,,,,,
Permanent pastures and other grazing lands,173.85,2.22,,,,,,,
Land under misc. tree crops and groves,212.41,2.71,,,,,,,
Culturable wasteland,149.79,1.91,,,,,,,
Fallow land other than current fallows,95.66,1.22,,,,,,,
Current fallows,114.09,1.46,,,,,,,
Net area sown,"2,749.12",35.11,,,,,,,
Table 10.3.2 Forest Cover of Assam,,,,,,,,,
,,(km2),,,,,,,
Class,Area,%  of Calculated Area by SoI,,,,,,,
VDF,"3,189.71",4.07,,,,,,,
MDF,"9,764.54",12.45,,,,,,,
OF,"15,359.30",19.58,,,,,,,
Total,"28,313.55",36.10,,,,,,,
Scrub,240.93,0.31,,,,,,,
,Table 10.3.3 District-wise Forest Cover in Assam,,,,,,,,
,,,,,,,,(km2),
,,,2023 Assessment,,,,Change,,
,,,,,,%  of Cal-,,,
,,,,,,,w.r.t.,,
,Calculated,Very,Mod.,,,culated,,,
District,,,,Open,,,2021,Scrub,
,Area by SoI,Dense,Dense,,Total,Area by,,,
,,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
Baksa,"2,444",165.45,135.35,285.71,586.51,24.00,7.43,8.09,
Barpeta,"2,282",0.00,34.18,85.40,119.58,5.24,-0.77,0.70,
Biswanath,"2,224",26.24,52.40,279.68,358.32,16.11,5.21,9.92,
Bongaigaon,"1,140",0.00,58.36,178.32,236.68,20.76,-1.47,1.15,
Cachar,"3,780",191.71,960.90,"1,031.90","2,184.51",57.79,-16.77,12.00,
Charaideo,"1,015",8.97,84.77,266.97,360.71,35.54,0.47,4.43,
Chirang,"1,911",361.20,126.69,219.47,707.36,37.02,-14.38,7.81,
Darrang,"1,586",0.00,14.43,99.48,113.91,7.18,2.61,2.28,
Dhemaji,"2,513",53.67,88.36,152.00,294.03,11.70,15.36,6.83,
Dhubri,"1,632",1.45,14.73,72.31,88.49,5.42,1.94,3.40,
Dibrugarh,"3,397",106.03,68.70,591.86,766.59,22.57,0.64,11.30,
Dima HasaoH,"4,880",295.97,"1,404.33","2,334.61","4,034.91",82.68,-93.27,9.66,
Goalpara,"1,913",14.80,144.88,275.18,434.86,22.73,11.60,1.94,
Golaghat,"3,215",23.39,117.97,519.34,660.70,20.55,36.06,12.81,
Hailakandi,"1,328",17.25,364.08,391.85,773.18,58.22,-16.60,0.88,
HojaiH,"1,460",24.32,230.59,193.78,448.69,30.73,0.52,2.67,
Jorhat,"1,865",13.36,110.27,474.90,598.53,32.09,18.79,11.75,
Kamrup,"3,127",50.83,446.14,485.80,982.77,31.43,6.30,5.20,
Kamrup,,,,,,,,,
,971,0.00,229.98,241.05,471.03,48.51,-2.11,1.21,
Metropolitan,,,,,,,,,
Karbi AnglongH,"7,319",524.86,"2,932.74","2,167.02","5,624.62",76.85,22.88,42.74,
Karimganj,"1,813",3.33,292.83,544.79,840.95,46.38,-2.70,1.33,
Kokrajhar,"3,111",545.76,206.96,389.97,"1,142.69",36.73,-3.16,5.00,
Lakhimpur,"2,926",40.44,116.05,269.56,426.05,14.56,11.05,2.49,
Majuli,"1,278",0.00,3.84,30.92,34.76,2.72,4.24,1.29,
Morigaon,"1,512",16.03,54.21,125.46,195.70,12.94,3.25,1.76,
NagaonH,"2,569",36.16,129.61,320.66,486.43,18.93,-0.02,7.49,
Nalbari,"1,052",0.00,31.05,82.69,113.74,10.81,0.08,0.02,
,,,,,,%  of Cal-,,,
,Calculated,,,,,,w.r.t.,,
,,Very,Mod.,,,culated,,,
District,Area by,,,Open,,,2021,Scrub,
,,Dense,Dense,,Total,Area by,,,
,SoI,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
Sivasagar,"1,628",0.00,61.65,276.55,338.20,20.77,3.90,4.22,
Sonitpur,"3,018",83.70,201.21,435.19,720.10,23.86,-2.02,9.77,
South Salmara-,,,,,,,,,
,605,0.00,6.65,17.49,24.14,3.99,-1.94,0.07,
Mankachar,,,,,,,,,
Tinsukia,"3,840",405.45,341.23,832.08,"1,578.76",41.11,3.65,21.52,
Udalguri,"2,013",7.47,78.69,325.69,411.85,20.46,-3.33,5.85,
West Karbi,,,,,,,,,
,"3,071",171.87,620.71,"1,361.62","2,154.20",70.15,-9.20,23.35,
AnglongH,,,,,,,,,
Grand Total,"78,438","3,189.71","9,764.54","15,359.30","28,313.55",36.10,-11.76,240.93,
*Area figure calculated without normalization factor.,,,,,,,,,
,,Digitized,,,Open,,,Scrub,
No.,Body,,Dense,Dense,,Forest,w.r.t.,,
,,Boundary*,,,Forest,,,,
,,,Forest,Forest,,Cover,Area of,,
,,,,,,,Digitized,,
,,,,,,,Boundary,,
1,Abhayapuri,5.28,0.00,0.00,0.98,0.98,18.56,0.00,
2,Amguri,1.93,0.00,0.02,0.14,0.16,8.29,0.00,
3,Badarpur,4.04,0.00,0.00,1.34,1.34,33.17,0.00,
4,Baithalangso,25.77,1.56,1.18,5.94,8.68,33.68,2.04,
5,Bakalia,16.04,0.00,0.06,1.28,1.34,8.35,0.00,
6,Barpathar,3.32,0.00,0.00,0.25,0.25,7.53,0.00,
7,Barpeta Road,4.09,0.00,0.00,0.12,0.12,2.93,0.00,
8,Barpeta Town,23.15,0.00,0.00,0.93,0.93,4.02,0.00,
9,Basugaon,3.90,0.00,0.05,0.54,0.59,15.13,0.00,
10,Bihpuria,5.44,0.00,0.00,0.37,0.37,6.80,0.00,
11,Bijni,2.94,0.00,0.02,0.27,0.29,9.86,0.00,
12,Bilasipara,3.03,0.00,0.00,0.09,0.09,2.97,0.00,
13,Biswanath Chariali,57.68,0.00,0.56,9.97,10.53,18.26,0.11,
14,Bokajan,9.72,0.00,0.00,0.65,0.65,6.69,0.00,
15,Bokakhat,30.41,0.00,0.03,6.53,6.56,21.57,0.20,
16,Bongaigaon,11.89,0.00,0.59,1.25,1.84,15.48,0.00,
17,Chabua,0.92,0.00,0.00,0.02,0.02,2.17,0.00,
18,Chapor,10.21,0.14,0.66,0.11,0.91,8.91,0.00,
19,Chopakhowa,5.30,0.00,0.00,0.11,0.11,2.08,0.17,
20,Demow,4.67,0.00,0.00,0.51,0.51,10.92,0.00,
21,Dergaon,1.43,0.00,0.00,0.32,0.32,22.38,0.00,
22,Dhakuakhana,5.18,0.00,0.00,0.67,0.67,12.93,0.00,
23,Dhekiajuli,4.23,0.00,0.02,0.40,0.42,9.93,0.00,
24,Dhemaji,18.81,0.00,0.13,1.71,1.84,9.78,0.00,
25,Dhing,10.77,0.00,0.00,2.53,2.53,23.49,0.00,
,,Area as per,,,,,,,
Sl.,Name of Urban Local,,Very,Mod.,,Total,Cover,,
,,Digitized,,,Open,,,Scrub,
No.,Body,,Dense,Dense,,Forest,w.r.t.,,
,,Boundary*,,,Forest,,,,
,,,Forest,Forest,,Cover,Area of,,
,,,,,,,Digitized,,
,,,,,,,Boundary,,
26,Dhubri,0.61,0.00,0.00,0.00,0.00,0.00,0.00,
27,Dibrugarh,13.96,0.00,0.01,0.80,0.81,5.80,0.00,
28,Digboi,4.46,0.00,0.04,0.03,0.07,1.57,0.00,
29,Diphu,9.61,0.00,0.01,0.86,0.87,9.05,0.00,
30,Doboka,2.79,0.00,0.00,0.68,0.68,24.37,0.00,
31,Dokmoka,22.43,0.00,0.03,2.03,2.06,9.18,0.00,
32,Donkamokam,10.76,0.00,0.47,2.59,3.06,28.44,0.00,
33,Doomdooma,2.22,0.00,0.00,0.15,0.15,6.76,0.00,
34,Fakiragram,8.26,0.00,0.29,0.38,0.67,8.11,0.00,
35,Gauripur Town,123.50,0.00,0.22,3.75,3.97,3.21,0.00,
36,Goalpara MP,83.65,2.59,5.45,17.30,25.34,30.29,0.00,
37,Gohpur,14.82,0.00,0.10,1.22,1.32,8.91,0.00,
38,Golaghat,7.14,0.00,0.00,0.56,0.56,7.84,0.00,
39,Golakganj,5.00,0.00,0.01,0.32,0.33,6.60,0.00,
40,Goreswar,6.99,0.00,0.17,0.49,0.66,9.44,0.00,
41,Gossaigaon,21.83,0.00,0.30,0.82,1.12,5.13,0.00,
42,Guwahati,176.22,0.00,12.40,17.01,29.41,16.69,0.36,
43,Haflong,16.96,0.00,2.05,3.24,5.29,31.19,0.01,
44,Hailakandi,7.17,0.00,0.00,1.08,1.08,15.06,0.00,
45,Hamren1,1.57,0.00,0.00,0.49,0.49,31.21,0.00,
46,Hamren3,0.29,0.00,0.00,0.03,0.03,10.34,0.00,
47,Hamren4,0.25,0.00,0.00,0.07,0.07,28.00,0.00,
48,Hamren5,0.38,0.00,0.00,0.24,0.24,63.16,0.00,
49,Hamren6,0.45,0.00,0.00,0.02,0.02,4.44,0.00,
50,Hojai,4.78,0.00,0.00,0.00,0.00,0.00,0.00,
51,Howly,5.41,0.00,0.27,0.39,0.66,12.20,0.00,
52,Howraghat,2.37,0.00,0.00,0.23,0.23,9.70,0.00,
53,Jamugurighat,8.39,0.00,0.41,0.95,1.36,16.21,0.00,
54,Jorhat,9.69,0.00,0.01,0.15,0.16,1.65,0.00,
55,Kajalgaon1,4.59,0.00,0.00,0.63,0.63,13.73,0.00,
56,Kajalgaon2,1.71,0.00,0.00,0.16,0.16,9.36,0.00,
57,Kajalgaon3,1.60,0.00,0.27,0.05,0.32,20.00,0.00,
58,Kajalgaon4,6.37,0.00,0.19,0.87,1.06,16.64,0.00,
59,Kampur,6.10,0.00,0.09,0.67,0.76,12.46,0.00,
60,Karimganj,6.11,0.00,0.00,0.29,0.29,4.75,0.00,
61,Kokrajhar,6.29,0.00,0.00,0.20,0.20,3.18,0.00,
62,Lakhipur,5.24,0.00,0.00,0.14,0.14,2.67,0.00,
63,Lakhipur2,4.05,0.00,0.00,0.21,0.21,5.19,0.00,
64,Lala,2.93,0.00,0.13,0.78,0.91,31.06,0.00,
65,Langhin,8.78,0.00,0.00,0.86,0.86,9.79,0.00,
66,Lanka,10.26,0.00,0.00,0.27,0.27,2.63,0.00,
67,Lumding,4.58,0.00,0.00,0.23,0.23,5.02,0.00,
,,Digitized,,,Open,,,Scrub,
No.,Body,,Dense,Dense,,Forest,w.r.t.,,
,,Boundary*,,,Forest,,,,
,,,Forest,Forest,,Cover,Area of,,
,,,,,,,Digitized,,
,,,,,,,Boundary,,
68,Mahur,2.13,0.00,0.30,0.37,0.67,31.46,0.00,
69,Maibang,8.25,0.00,0.85,1.23,2.08,25.21,0.00,
70,Makum,3.04,0.00,0.08,0.10,0.18,5.92,0.00,
71,Mangaldoi,5.30,0.00,0.00,0.41,0.41,7.74,0.00,
72,Margherita,18.49,0.00,0.09,3.72,3.81,20.61,0.00,
73,Mariani,3.35,0.00,0.00,0.50,0.50,14.93,0.06,
74,Moran,1.57,0.00,0.00,0.09,0.09,5.73,0.00,
75,Morigaon,6.66,0.00,0.00,0.51,0.51,7.66,0.00,
76,Nagaon,12.56,0.00,0.00,0.27,0.27,2.15,0.00,
77,Naharkatiya,28.51,0.00,0.13,9.07,9.20,32.27,0.64,
78,Nalbari,13.54,0.00,0.04,0.88,0.92,6.79,0.00,
79.,Namrup,31.57,0.00,0.00,8.34,8.34,26.42,0.03,
80,Narayanpur,7.82,0.00,0.00,0.63,0.63,8.06,0.00,
81,Nazira,2.78,0.00,0.02,0.12,0.14,5.04,0.00,
82,North Lakhimpur,14.46,0.00,0.29,0.89,1.18,8.16,0.00,
83,Palashbari Town,1.93,0.00,0.00,0.00,0.00,0.00,0.00,
84,Patarkuchi,2.31,0.00,0.09,0.48,0.57,24.68,0.00,
85,Pathchala,10.57,0.00,0.30,0.62,0.92,8.70,0.00,
86,Raha,5.04,0.00,0.00,1.05,1.05,20.83,0.00,
87,Ramkrishna Nagar,45.62,0.00,0.33,13.93,14.26,31.26,0.00,
88,Rangia Town,8.28,0.00,0.02,0.31,0.33,3.99,0.00,
89,Sarthebari,2.99,0.00,0.13,0.52,0.65,21.74,0.00,
90,Sarupathar,9.88,0.00,0.04,1.64,1.68,17.00,0.00,
91,Silapthar,10.58,0.00,0.13,1.20,1.33,12.57,0.00,
92,Silchar,14.48,0.00,0.00,0.46,0.46,3.18,0.00,
93,Simaluguri,3.40,0.00,0.20,0.13,0.33,9.71,0.00,
94,Sipajhar,8.18,0.00,0.00,1.18,1.18,14.43,0.00,
95,Sivsagar,7.41,0.00,0.05,0.04,0.09,1.21,0.00,
96,Sonai,10.34,0.00,0.43,1.58,2.01,19.44,0.00,
97,Sonari,22.25,0.00,0.22,8.97,9.19,41.30,0.12,
98,Sootea,10.67,0.00,0.14,1.62,1.76,16.49,0.00,
99,Sorbhog,3.28,0.00,0.00,1.04,1.04,31.71,0.00,
100,Tangla,3.19,0.00,0.00,0.26,0.26,8.15,0.00,
101,Teok,6.92,0.00,0.18,1.17,1.35,19.51,0.03,
102,Tezpur,140.30,0.66,2.22,12.33,15.21,10.84,0.00,
103,Tihu,7.38,0.00,0.37,0.74,1.11,15.04,0.00,
104,Tinsukia,11.08,0.00,0.00,0.09,0.09,0.81,0.00,
105,Titabar,10.42,0.00,0.40,1.00,1.40,13.44,0.00,
106,Udalguri,35.06,0.00,0.44,3.82,4.26,12.15,0.00,
107,Umrangshu,12.71,0.00,0.00,5.56,5.56,43.75,0.15,
Grand Total,,"1,475.02",4.95,33.73,185.14,223.82,15.17,3.92,
*Shapefile of digitized boundary as provided by Department of Housing & Urban Affairs.,,,,,,,,,
India State of Forest Report 2023 (Volume 2),Assam,,,,,,,,
10.3.2 Forest  Cover Inside and Outside Recorded Forest Area,,,,,,,,,
(or Green Wash),,,,,,,,,
The Forest Cover inside and outside Recorded Forest Area (RFA) has been analysed in different,,,,,,,,,
categories and presented in table given below.,,,,,,,,,
Table 10.3.5 Forest Cover Inside and Outside Recorded Forest Area,,,,,,,,,
(or Green Wash) in Assam,,,,,,,,,
,(km2),,,,,,,,
Forest Cover Inside the Recorded Forest Area,Forest Cover Outside the Recorded Forest Area,,,,,,,,
(or Green Wash),(or Green Wash),,,,,,,,
"VDF
MDF
OF
Total","VDF
MDF
OF
Total",,,,,,,,
"2,833.31
8,333.78
8,529.64","356.40 
 1,430.76 
 6,829.66",,,,,,,,
"19,696.73","8,616.82",,,,,,,,
"14.38%
42.31%
43.31%","4.14%
16.60%
79.26%",,,,,,,,
"*
I
n
 
case of Assam, GW boundaries have been used.",,,,,,,,,
Figure 10.3.2 Forest Cover Inside and Outside of GW in Assam,,,,,,,,,
,,"31
Forest Survey of India",,,,,,,
,Table 10.3.6 Forest Cover Change Matrix Inside RFA/GW for Assam,,,,,,,,
,between 2021 Raster based and 2023 Assessments,,,,,,,,
,,,,,,(km2),,,
,,,2023 Assessment inside RFA/GW,,,Total ISFR,,,
,,,,,,2021 inside,,,
Class,,,,,,,,,
,VDF,MDF,OF,Scrub,NF,RFA / GW,,,
,,,,,,Raster based*,,,
VDF,"2,745.46",14.06,1.58,0.09,28.49,"2,789.68",,,
MDF,86.21,"8,251.43",12.87,1.74,115.85,"8,468.10",,,
OF,0.83,53.89,"8,175.69",13.59,281.61,"8,525.61",,,
Scrub,0.11,0.16,47.22,63.22,10.25,120.96,,,
NF,0.70,14.24,292.28,23.91,"7,310.02","7,641.15",,,
Total ISFR,,,,,,,,,
2023 inside,"2,833.31","8,333.78","8,529.64",102.55,"7,746.22","27,545.50",,,
RFA/GW,,,,,,,,,
Net Change,43.63,-134.32,4.03,-18.41,105.07,,,,
*Area figure calculated without normalization factor.,,,,,,,,,
,Table 10.3.9 Forest Cover in Different Slope Classes in Assam,,,,,,,,
,,,,,,(km2),,,
Slope,Calculated,,,,,,,,
,,VDF,MDF,OF,Total,Scrub,,,
(in degrees),Area by SoI,,,,,,,,
0-5,"61,901","1,822.49","3,750.68","8,944.72","14,517.89",179.01,,,
5-10,"6,929",428.75,"2,220.90","2,448.12","5,097.77",28.24,,,
10-15,"4,156",290.04,"1,610.51","1,728.53","3,629.08",16.39,,,
15-20,"2,643",235.20,"1,059.73","1,121.95","2,416.88",9.67,,,
20-25,"1,511",176.82,609.15,629.02,"1,414.99",4.80,,,
25-30,759,116.33,302.55,301.20,720.08,1.96,,,
>30,539,120.08,211.02,185.76,516.86,0.86,,,
Total,"78,438","3,189.71","9,764.54","15,359.30","28,313.55",240.93,,,
