LGD_Code,DistrictName,StateName,Population,MORTH_City_Name
44,Chandigarh,Chandigarh,1055450.0,Chandigarh
730,Chengalpattu,Tamil Nadu,,
469,Chhatrapati Sambhajinagar,Maharashtra,,
399,Chhindwara,Madhya Pradesh,2090922.0,
136,Chitrakoot,Uttar Pradesh,991730.0,
254,Churachandpur,Manipur,274143.0,
570,Cuddalore,Tamil Nadu,2605914.0,
350,Cuttack,Odisha,2624470.0,
534,Dakshina Kannada,Karnataka,2089649.0,
463,Daman,The Dadra And Nagar Haveli And Daman And Diu,,
195,Darbhanga,Bihar,3937385.0,
97,Dausa,Rajasthan,1634409.0,
767,Deeg,Rajasthan,,
137,Deoria,Uttar Pradesh,3100946.0,
402,Dewas,Madhya Pradesh,1563715.0,
403,Dhar,Madhya Pradesh,2185793.0,
488,Dharashiv,Maharashtra,,
474,Dhule,Maharashtra,2050862.0,
747,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,,
231,East Kameng,Arunachal Pradesh,78690.0,
139,Etawah,Uttar Pradesh,1581810.0,
60,Faridabad,Haryana,1809733.0,Faridabad
143,Firozabad,Uttar Pradesh,2498156.0,
100,Ganganagar,Rajasthan,1969168.0,
288,Golaghat,Assam,1066888.0,
148,Gorakhpur,Uttar Pradesh,4440895.0,
406,Guna,Madhya Pradesh,1241519.0,
228,Gyalshing,Sikkim,,
149,Hamirpur,Uttar Pradesh,1104285.0,
556,Idukki,Kerala,1108974.0,
255,Imphal East,Manipur,456113.0,
410,Indore,Madhya Pradesh,3276697.0,Indore
783,Jaipur (Gramin),Rajasthan,,
103,Jaisalmer,Rajasthan,669919.0,
689,Jangoan,Telangana,,
152,Jaunpur,Uttar Pradesh,4494204.0,
64,Jhajjar,Haryana,958405.0,
448,Junagadh,Gujarat,2743082.0,
66,Kaithal,Haryana,1074304.0,
718,Kamle,Arunachal Pradesh,,
575,Kanniyakumari,Tamil Nadu,1870374.0,
598,Karaikal,Puducherry,200222.0,
293,Karimganj,Assam,1228686.0,
158,Kaushambi,Uttar Pradesh,1599596.0,
781,Kekri,Rajasthan,,
361,Kendujhar,Odisha,1801733.0,
759,Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,,
245,Kohima,Nagaland,267988.0,
294,Kokrajhar,Assam,887142.0,
480,Kolhapur,Maharashtra,3876001.0,
643,Kondagaon,Chhattisgarh,,
20,Kullu,Himachal Pradesh,437903.0,
233,Kurung Kumey,Arunachal Pradesh,92076.0,
9,Leh Ladakh,Ladakh,,
162,Lucknow,Uttar Pradesh,4589838.0,Lucknow
205,Madhepura,Bihar,2001762.0,
737,Malerkotla,Punjab,,
226,Mangan,Sikkim,,
37,Mansa,Punjab,769751.0,
296,Marigaon,Assam,,
167,Mathura,Uttar Pradesh,2547184.0,
169,Meerut,Uttar Pradesh,3443689.0,Meerut
38,Moga,Punjab,995746.0,
647,Mungeli,Chhattisgarh,,
172,Muzaffarnagar,Uttar Pradesh,4143512.0,
208,Muzaffarpur,Bihar,4801062.0,
110,Nagaur,Rajasthan,3307743.0,
227,Namchi,Sikkim,,
637,Narayanpur,Chhattisgarh,139820.0,
452,Narmada,Gujarat,590297.0,
367,Nayagarh,Odisha,962789.0,
764,Niuland,Nagaland,,
303,North 24 Parganas,West Bengal,,
632,North And Middle Andaman,Andaman And Nicobar Islands,,
656,North Garo Hills,Meghalaya,,
604,Nuh,Haryana,,
741,Pakyong,Sikkim,,
111,Pali,Rajasthan,2037573.0,
751,Palnadu,Andhra Pradesh,,
619,Palwal,Haryana,1042708.0,
420,Panna,Madhya Pradesh,1016520.0,
52,Pauri Garhwal,Uttarakhand,,
772,Phalodi,Rajasthan,,
173,Pilibhit,Uttar Pradesh,2031007.0,
306,Purba Bardhaman,West Bengal,,
457,Rajkot,Gujarat,3804558.0,Rajkot
631,Ramanagara,Karnataka,1082636.0,
607,Ramgarh,Jharkhand,949443.0,
176,Rampur,Uttar Pradesh,2335819.0,
731,Ranipet,Tamil Nadu,,
424,Rewa,Madhya Pradesh,2365106.0,
215,Rohtas,Bihar,2959918.0,
42,Rupnagar,Punjab,684627.0,
779,Sanchore,Rajasthan,,
494,Satara,Maharashtra,3003741.0,
428,Seoni,Madhya Pradesh,1379131.0,
180,Shahjahanpur,Uttar Pradesh,3006538.0,
430,Shajapur,Madhya Pradesh,1512681.0,
431,Sheopur,Madhya Pradesh,687861.0,
432,Shivpuri,Madhya Pradesh,1726050.0,
625,Shopian,Jammu And Kashmir,,
433,Sidhi,Madhya Pradesh,1127033.0,
638,Singrauli,Madhya Pradesh,1178273.0,
183,Sitapur,Uttar Pradesh,4483992.0,
496,Solapur,Maharashtra,4317756.0,
742,Soreng,Sikkim,,
83,South,Delhi,,
707,South Salmara Mancachar,Assam,,
663,South West Garo Hills,Meghalaya,,
519,Srikakulam,Andhra Pradesh,2703114.0,
642,Sukma,Chhattisgarh,,
223,Supaul,Bihar,2229076.0,
756,Tamulpur,Assam,,
55,Tehri Garhwal,Uttarakhand,618931.0,
497,Thane,Maharashtra,11060148.0,Vashi N.Mumbai
565,Thiruvananthapuram,Kerala,3301427.0,Thiruvananthapuram
591,Tiruchirappalli,Tamil Nadu,2722290.0,Trichy
634,Tiruppur,Tamil Nadu,2479052.0,
593,Tiruvannamalai,Tamil Nadu,2464875.0,
117,Udaipur,Rajasthan,3068420.0,
617,Udalguri,Assam,831668.0,
240,Upper Siang,Arunachal Pradesh,35320.0,
550,Uttara Kannada,Karnataka,1437169.0,
57,Uttar Kashi,Uttarakhand,,
522,Warangal,Telangana,,
567,Wayanad,Kerala,817420.0,
278,West Garo Hills,Meghalaya,643291.0,
275,West Jaintia Hills,Meghalaya,,
243,West Siang,Arunachal Pradesh,112274.0,
343,West Singhbhum,Jharkhand,,
697,Yadadri Bhuvanagiri,Telangana,,
635,Yadgir,Karnataka,1174271.0,
601,Yanam,Puducherry,55626.0,
251,Zunheboto,Nagaland,140757.0,
