"result_container--right-title","result_container--right-title href","result_container--right-location","result_container--right-location href","result_container--right-location 2","result_container--right-location 3","result_container--right-location href 2","result_container--right-location 4","result_container--right-contactname","result_container--right-contactno","result_container--right-desc","result_container--right-desc 2","product-margin"
"DEE DEVELOPMENT ENGINEERS LTD.","https://www.indianindustriesdirectory.com/companyinfo/dee-development-engineers-ltd-haryana-160154.html","HARYANA","https://www.indianindustriesdirectory.com/district/haryana/chemicals.html","-","121102","https://www.indianindustriesdirectory.com/pincode/haryana/121102/chemicals.html",",INDIA","Contact Person: MR. K.L. BANSAL (CHAIRMAN & MD)","Tel No. 91 - 1275-248200","specialized process piping solutions for industries such as oil and gas, power (including nuclear),","...More","Send Enquiry"
"BULK MRO INDUSTRIAL SUPPLY","https://www.indianindustriesdirectory.com/companyinfo/bulk-mro-industrial-supply-mumbai-162259.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400013","https://www.indianindustriesdirectory.com/pincode/mumbai/400013/chemicals.html",",INDIA","Contact Person: MR.NILESH SHINDE","Tel No. 022 - 49214921","Suppler of instrumentation and automation products, Packaging materials, Chemicals & Petro Products,","...More","Send Enquiry"
"PMD CHEMICALS LTD.","https://www.indianindustriesdirectory.com/companyinfo/pmd-chemicals-ltd-pune-162510.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","412207","https://www.indianindustriesdirectory.com/pincode/pune/412207/chemicals.html",",INDIA","Contact Person: MR.  MACHHINDRA PATADE","Tel No. 0 - 9892732063","Passivation Chemicals, Chemical Cleaners, Zinc Plating Chemical, Chrome Plating Chemicals, Top Coats","...More","Send Enquiry"
"SRINI CHEM","https://www.indianindustriesdirectory.com/companyinfo/srini-chem-hyderabad-155773.html","HYDERABAD","https://www.indianindustriesdirectory.com/district/hyderabad/chemicals.html","-","500085","https://www.indianindustriesdirectory.com/pincode/hyderabad/500085/chemicals.html",",INDIA","Contact Person: MR. KARIKE SRINIVAS","Tel No. 0 - 9989450603","Speciality Chemicals  Mfg.","...More","Send Enquiry"
"Y.G. TRADERS","https://www.indianindustriesdirectory.com/companyinfo/yg-traders-ludhiana-156637.html","LUDHIANA","https://www.indianindustriesdirectory.com/district/ludhiana/chemicals.html","-","141003","https://www.indianindustriesdirectory.com/pincode/ludhiana/141003/chemicals.html",",INDIA","Contact Person: MR. YATIN GILHOTRA","Tel No. 0 - 7888695615","Galvanising Chemicals","...More","Send Enquiry"
"DIAMOND CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/diamond-chemicals-pune-164073.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411001","https://www.indianindustriesdirectory.com/pincode/pune/411001/chemicals.html",",INDIA","Contact Person: MR. MANOJ KUKADE","Tel No. 020 - 26123230","Chemical Distributor.","...More","Send Enquiry"
"EXINVENT","https://www.indianindustriesdirectory.com/companyinfo/exinvent-mumbai-22372.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400076","https://www.indianindustriesdirectory.com/pincode/mumbai/400076/chemicals.html",",INDIA","Contact Person: MR. BISHESHWAR R. TIWARI","Tel No. 022 - 61100103","Indentor, Importer And Stockist Of Chemicals & Solvents.","...More","Send Enquiry"
"NITYANANDA CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/nityananda-chemicals-pune-113256.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411026","https://www.indianindustriesdirectory.com/pincode/pune/411026/chemicals.html",",INDIA","Contact Person: MR. PRADEEP MORWAL","Tel No. 0 - 9518393878","All Types Of Chemicals, Coating, Pigments, Plastic Chemicals, Rubber Chemical, Wax, Cosmetic, Food A","...More","Send Enquiry"
"ODYSSEY ORGANICS PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/odyssey-organics-pvtltd-thane-15971.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","421503","https://www.indianindustriesdirectory.com/pincode/thane/421503/chemicals.html",",INDIA","Contact Person: MS. PRIYA TAMBADKAR (SR. EXECUTIVE SALES)","Tel No. 0 - 9766614471 / 9766615115","Sodium Picramate,Picramic Acid.","...More","Send Enquiry"
"MUBY CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/muby-chemicals-mumbai-30960.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400009","https://www.indianindustriesdirectory.com/pincode/mumbai/400009/chemicals.html",",INDIA","Contact Person: MR. ANMOL A. KAMDAR","Tel No. 022 - 23774610","Manufacturers of Specialty Chemicals, Pharmaceutical Excipient, Fragrance Food & Flavor chemicals, R","...More","Send Enquiry"
"BHARAT CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/bharat-chemicals-satara-40745.html","SATARA","https://www.indianindustriesdirectory.com/district/satara/chemicals.html","-","415004","https://www.indianindustriesdirectory.com/pincode/satara/415004/chemicals.html",",INDIA","Contact Person: MR.BHARAT","Tel No. 2162 - 247255","Manufacture high grade Bauxite, Calcite, Lime Stone, Alum (Solid & Liquid), Ceramic Grade Red Clay,","...More","Send Enquiry"
"MARATHWADA CHEMICAL INDS. PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/marathwada-chemical-inds-pvtltd-aurangabad-58826.html","AURANGABAD","https://www.indianindustriesdirectory.com/district/aurangabad/chemicals.html","-","431005","https://www.indianindustriesdirectory.com/pincode/aurangabad/431005/chemicals.html",",INDIA","Contact Person:  MR. ANIL R. SIKCHI   (DIRECTOR)","Tel No. 0 - 8552980888/9284531318","Alumina Hydrate, Sodium Aluminate, Aluminum Stearate, Barium Stearate, Zinc Stearate, Pigment Green","...More","Send Enquiry"
"PATAWARI TRADERS","https://www.indianindustriesdirectory.com/companyinfo/patawari-traders-mumbai-153503.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400101","https://www.indianindustriesdirectory.com/pincode/mumbai/400101/chemicals.html",",INDIA","Contact Person: MR. YOGESH PATAWARI","Tel No.  - 9892212594","Wholesaler, Supplier, Trader and Importer of Gum Rosin, Chemical Acids, Chemical Solvents, Chemical","...More","Send Enquiry"
"KRISHNA ENTERPRISE","https://www.indianindustriesdirectory.com/companyinfo/krishna-enterprise-mumbai-154128.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400092","https://www.indianindustriesdirectory.com/pincode/mumbai/400092/chemicals.html",",INDIA","Contact Person: MR. SANJAY NARVEKAR","Tel No.  - 9820526580","Coatings and Inks, Construction Chemicals, Decorative Paints, Wood Coatings, Metal Coatings, Coil Co","...More","Send Enquiry"
"ANANDA LAXMI GLOBAL","https://www.indianindustriesdirectory.com/companyinfo/ananda-laxmi-global-navi-mumbai-153965.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","410206","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/410206/chemicals.html",",INDIA","Contact Person: MR. PRATIK WANI (DIRECTOR)","Tel No. 0 - 8652565555 / 7499953700","Distribution of Pharmaceuticals (Intermediates and API’s), Chemicals, Herbal Extracts, Nutraceutical","...More","Send Enquiry"
"SWASTIK MANUFACTURING AND TRADING PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/swastik-manufacturing-and-trading-pvtltd-nagpur-153580.html","NAGPUR","https://www.indianindustriesdirectory.com/district/nagpur/chemicals.html","-","440022","https://www.indianindustriesdirectory.com/pincode/nagpur/440022/chemicals.html",",INDIA","Contact Person: MR. SHASHWAT TIWARI","Tel No.  - 8007439988","Manufacturing and Trading of Chemicals.","...More","Send Enquiry"
"DS CHEMICALS AND PHARMACEUTICALS","https://www.indianindustriesdirectory.com/companyinfo/ds-chemicals-and-pharmaceuticals-mumbai-153215.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400066","https://www.indianindustriesdirectory.com/pincode/mumbai/400066/chemicals.html",",INDIA","Contact Person: MR. SAMEER R. BAJAJ","Tel No. 022 - 28544111 / 28702452 / 7498129701","Chemical and Pharmaceutical Co.","...More","Send Enquiry"
"SOOD CHEMICAL CORPORATION","https://www.indianindustriesdirectory.com/companyinfo/sood-chemical-corporation-amritsar-154295.html","AMRITSAR","https://www.indianindustriesdirectory.com/district/amritsar/chemicals.html","-","143001","https://www.indianindustriesdirectory.com/pincode/amritsar/143001/chemicals.html",",INDIA","Contact Person: MR. RAJEEV SOOD","Tel No.  - 7009808280","Trading in Chemicals, Glass Fibre Raw Material.","...More","Send Enquiry"
"SUJATHA ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/sujatha-enterprises-hyderabad-154129.html","HYDERABAD","https://www.indianindustriesdirectory.com/district/hyderabad/chemicals.html","-","500013","https://www.indianindustriesdirectory.com/pincode/hyderabad/500013/chemicals.html",",INDIA","Contact Person: MR. SRIHARSHA NAIDU","Tel No.  - 8790557407","Ferrous and Non Ferrous, Lubricants, Solvents, Chemicals, Petro Chemical, Metals, Tyres.","...More","Send Enquiry"
"SHRAVAN CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/shravan-chemicals-thane-154640.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","421505","https://www.indianindustriesdirectory.com/pincode/thane/421505/chemicals.html",",INDIA","Contact Person: MR. JITENDRA BAIRAGI","Tel No.  - 9422092944","Manufacturer of Solvents, Chemical, Acids, Filter Aid, Activated Carbon, Textile Product, Inorganic","...More","Send Enquiry"
"I BUY CHEMIKALS","https://www.indianindustriesdirectory.com/companyinfo/i-buy-chemikals-chennai-153677.html","CHENNAI","https://www.indianindustriesdirectory.com/district/chennai/chemicals.html","-","600040","https://www.indianindustriesdirectory.com/pincode/chennai/600040/chemicals.html",",INDIA","Contact Person: MR. GENOJ C R","Tel No.  - 8940043327","Manufacturer of Chemicals, Lab Chemicals, Housekeeping Chemicals, Rust Preventive Oil, Paints and Co","...More","Send Enquiry"
"ASHA ACID SUPPLY","https://www.indianindustriesdirectory.com/companyinfo/asha-acid-supply-thane-154500.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","401104","https://www.indianindustriesdirectory.com/pincode/thane/401104/chemicals.html",",INDIA","Contact Person: MR. MAULIK MAKWANA","Tel No.  - 9833459955","Dealers of Chemicals, Pine Based Floor Cleaner And White cleaner, Hydrochloric Acid, Sulphuric Acid,","...More","Send Enquiry"
"BILVANI ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/bilvani-enterprises-aurangabad-153892.html","AURANGABAD","https://www.indianindustriesdirectory.com/district/aurangabad/chemicals.html","-","431006","https://www.indianindustriesdirectory.com/pincode/aurangabad/431006/chemicals.html",",INDIA","Contact Person: MR. SURAJ SHINDE","Tel No.  - 8379053871","Deals in Chemicals, Sodium Bi Carbonate, Caustic Soda Flakes.","...More","Send Enquiry"
"CHEMSCIENCE SPECIALITY CHEMICALS PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/chemscience-speciality-chemicals-pvtltd-bhilai-153645.html","BHILAI","https://www.indianindustriesdirectory.com/district/bhilai/chemicals.html","-","490023","https://www.indianindustriesdirectory.com/pincode/bhilai/490023/chemicals.html",",INDIA","Contact Person: MR. ARPIT SINGH","Tel No.  - 9285175699","Manufacturer of All types of Chemicals, Chemical Powder, Laboratory Chemical, Industrial Chemicals,","...More","Send Enquiry"
"INTRACONTINENT LOGICHEM CORPORATION PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/intracontinent-logichem-corporation-pvtltd-thane-153995.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","400703","https://www.indianindustriesdirectory.com/pincode/thane/400703/chemicals.html",",INDIA","Contact Person: MR. SAJIT MUJAWAR","Tel No.  - 9724903223","Dealers of Sulphate - Aluminium Sulphate, Calcium Sulphate, Chromium Sulphate, Cobalt Sulphate, Copp","...More","Send Enquiry"
"KEDIA ORGANIC CHEMICALS PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/kedia-organic-chemicals-pvt-ltd-navi-mumbai-104060.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person: MR. ABHIJIT WETHEKAR","Tel No. 0 - 9152535837/9152535847/9094065886","Manufacturers of Biodiesel, Specialty Esters through Enzymatic and other Catalytic processes.","...More","Send Enquiry"
"TEIKEI AGROCHEM INDIA PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/teikei-agrochem-india-pvtltd-aurangabad-147559.html","AURANGABAD","https://www.indianindustriesdirectory.com/district/aurangabad/chemicals.html","-","431001","https://www.indianindustriesdirectory.com/pincode/aurangabad/431001/chemicals.html",",INDIA","Contact Person: MR. C B DESHMUKH","Tel No.  - 9356749424","Manufacturer of Chemicals and Chemical Products.","...More","Send Enquiry"
"CREST ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/crest-enterprises-thane-148706.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","421204","https://www.indianindustriesdirectory.com/pincode/thane/421204/chemicals.html",",INDIA","Contact Person: MR. KALIM SHAIKH","Tel No. 022 - 9920544457","Dealer of Waste Chemicals and Solvents.","...More","Send Enquiry"
"VISHNU INTERNATIONAL","https://www.indianindustriesdirectory.com/companyinfo/vishnu-international-delhi-149549.html","DELHI","https://www.indianindustriesdirectory.com/district/delhi/chemicals.html","-","110006","https://www.indianindustriesdirectory.com/pincode/delhi/110006/chemicals.html",",INDIA","Contact Person: MR. SURYA GUPTA","Tel No. 011 - 40501502","Trading of Chemicals, Phosphate, Acetates, Citrates, Carbonates, Borates, Chlorides, Oxalates, Di Ch","...More","Send Enquiry"
"FOREMOST CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/foremost-chemicals-kolkata-146554.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700078","https://www.indianindustriesdirectory.com/pincode/kolkata/700078/chemicals.html",",INDIA","Contact Person: MR. RAMESH KUMAR JAJODIA","Tel No. 033 - 32598656","Suppliers of chemicals.","...More","Send Enquiry"
"RXMARINE INTERNATIONAL","https://www.indianindustriesdirectory.com/companyinfo/rxmarine-international-thane-149719.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","400703","https://www.indianindustriesdirectory.com/pincode/thane/400703/chemicals.html",",INDIA","Contact Person: MR. R TIWARI","Tel No. 022 - 9821214367","Manufacturer of Lab Chemicals, Copper Sulphate, Chemical, Agrisol.","...More","Send Enquiry"
"ARO CHEMICAL COMPANY","https://www.indianindustriesdirectory.com/companyinfo/aro-chemical-company-mumbai-149915.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400057","https://www.indianindustriesdirectory.com/pincode/mumbai/400057/chemicals.html",",INDIA","Contact Person: MR. VISHAL SHAH","Tel No. 0 - 9869336467","Bulk Drugs, Pharmaceutical Raw Material, Chemicals.","...More","Send Enquiry"
"NSGC CHEMICALS COMPANY","https://www.indianindustriesdirectory.com/companyinfo/nsgc-chemicals-company-jaipur-147487.html","JAIPUR","https://www.indianindustriesdirectory.com/district/jaipur/chemicals.html","-","301705","https://www.indianindustriesdirectory.com/pincode/jaipur/301705/chemicals.html",",INDIA","Contact Person: MR. NITESH SRIVASTAV","Tel No.  - 8058249092","Suppliers of Chemical, Solvents, Caustic Soda Flakes, Bleaching Powder, Acetone, Caustic Soda LYE, F","...More","Send Enquiry"
"SHUBHAM CHEMICALS AND SOLVENTS LTD.","https://www.indianindustriesdirectory.com/companyinfo/shubham-chemicals-and-solvents-ltd-delhi-147778.html","DELHI","https://www.indianindustriesdirectory.com/district/delhi/chemicals.html","-","110033","https://www.indianindustriesdirectory.com/pincode/delhi/110033/chemicals.html",",INDIA","Contact Person: MS. DIVYA SONI","Tel No.  - 7678549878","Chemicals and Solvents, Phenol, Melamine, Methanol, Glycols, Di-Ethylene Glycol,  Polymers, PVC Resi","...More","Send Enquiry"
"S M ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/s-m-enterprises-ahmednagar-148060.html","AHMEDNAGAR","https://www.indianindustriesdirectory.com/district/ahmednagar/chemicals.html","-","413709","https://www.indianindustriesdirectory.com/pincode/ahmednagar/413709/chemicals.html",",INDIA","Contact Person: MR. SAINATH","Tel No. 0 - 9960291540","Drug intermediates and Chemicals.","...More","Send Enquiry"
"ASHRAFI BROTHERS","https://www.indianindustriesdirectory.com/companyinfo/ashrafi-brothers-mumbai-149674.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400070","https://www.indianindustriesdirectory.com/pincode/mumbai/400070/chemicals.html",",INDIA","Contact Person: MR. NISSAR AHMED KHAN","Tel No.  - 8108176760","Packing Materials HM-HDPE - Carbouys and Barrels, Disposable Materials, Chemicals, Leather Accessori","...More","Send Enquiry"
"KANORIA CHEMICALS AND INDUSTRIES LTD.","https://www.indianindustriesdirectory.com/companyinfo/kanoria-chemicals-and-industries-ltd-kolkata-146372.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700019","https://www.indianindustriesdirectory.com/pincode/kolkata/700019/chemicals.html",",INDIA","Contact Person: MR. R.V. KANORIA (MD)","Tel No. 033 - 40313200","Leading Manufacturer of Chemical intermediates","...More","Send Enquiry"
"S.K.ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/skenterprises-pune-147713.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411019","https://www.indianindustriesdirectory.com/pincode/pune/411019/chemicals.html",",INDIA","Contact Person: MR.SANGHKUMAR","Tel No.  - 7709577992/8169035479","Chemical Manufacturer, Modified Wax, Biocide","...More","Send Enquiry"
"SYKEM PHARMA RESEARCH AND DEVELOPMENT","https://www.indianindustriesdirectory.com/companyinfo/sykem-pharma-research-and-development-dhule-148075.html","DHULE","https://www.indianindustriesdirectory.com/district/dhule/chemicals.html","-","424005","https://www.indianindustriesdirectory.com/pincode/dhule/424005/chemicals.html",",INDIA","Contact Person:","Tel No. 0 - 7498128637","We Work In API Intermediates & Nitrosamine Impurities We Also Work In Synthesis Of API Intermediate","...More","Send Enquiry"
"DEVI CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/devi-chemicals-hyderabad-150557.html","HYDERABAD","https://www.indianindustriesdirectory.com/district/hyderabad/chemicals.html","-","500043","https://www.indianindustriesdirectory.com/pincode/hyderabad/500043/chemicals.html",",INDIA","Contact Person: MR. SHIVA NAIK","Tel No.  - 9701398973","Acetone Solvent, Ethyl Acetate, Mix Solvent, Ortho Xylene, Ethyl Acetate Crude.","...More","Send Enquiry"
"M K INTERMEDIATES","https://www.indianindustriesdirectory.com/companyinfo/m-k-intermediates-mumbai-148890.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400092","https://www.indianindustriesdirectory.com/pincode/mumbai/400092/chemicals.html",",INDIA","Contact Person: MR. AMIT JAIN","Tel No.  - 8356028883","Manufacturer of Copper Compounds, Zinc Compounds, Manganese Compounds, Nickel Compounds, Silver Comp","...More","Send Enquiry"
"INNOVATIVE CHEMICAL INTERCHANGE PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/innovative-chemical-interchange-pvtltd-hyderabad-149795.html","HYDERABAD","https://www.indianindustriesdirectory.com/district/hyderabad/chemicals.html","-","500081","https://www.indianindustriesdirectory.com/pincode/hyderabad/500081/chemicals.html",",INDIA","Contact Person: MR. RAJESH","Tel No.  - 9121020713","Dealers of Chemicals, Industrial Chemicals. Agro Chemicals.","...More","Send Enquiry"
"LEO CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/leo-chemicals-palghar-150611.html","PALGHAR","https://www.indianindustriesdirectory.com/district/palghar/chemicals.html","-","401208","https://www.indianindustriesdirectory.com/pincode/palghar/401208/chemicals.html",",INDIA","Contact Person:","Tel No. 0 - 9820958433 / 9225137814","Largest Mafr & Supplier Of Treated water-Demineralised water/ Deionized Water, Chemicals, Garments,","...More","Send Enquiry"
"CHEMANALYST","https://www.indianindustriesdirectory.com/companyinfo/chemanalyst-mumbai-152413.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400052","https://www.indianindustriesdirectory.com/pincode/mumbai/400052/chemicals.html",",INDIA","Contact Person:","Tel No.  - 8882336899","Dealers of Chemicals and Petrochemicals.","...More","Send Enquiry"
"TRUMAN ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/truman-enterprises-hyderabad-146151.html","HYDERABAD","https://www.indianindustriesdirectory.com/district/hyderabad/chemicals.html","-","500009","https://www.indianindustriesdirectory.com/pincode/hyderabad/500009/chemicals.html",",INDIA","Contact Person: MS. SOMA SEKAR","Tel No.  - 7995124112","Suppliers of All types of Chemicals, Industrial Chemicals.","...More","Send Enquiry"
"LORDS CHEMICALS LTD.","https://www.indianindustriesdirectory.com/companyinfo/lords-chemicals-ltd-kolkata-146367.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700046","https://www.indianindustriesdirectory.com/pincode/kolkata/700046/chemicals.html",",INDIA","Contact Person: MR AJAY KUMAR JAIN (MANAGING DIRECTOR)","Tel No. 033 -  40733155","Leading Indian Manufacturer Of Basic Industrial Chemicals Like Sodium Dichromate, Chromic Acid, Chro","...More","Send Enquiry"
"AGROCEL INDUSTRIES LTD.","https://www.indianindustriesdirectory.com/companyinfo/agrocel-industries-ltd-mumbai-149871.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400102","https://www.indianindustriesdirectory.com/pincode/mumbai/400102/chemicals.html",",INDIA","Contact Person:","Tel No. 022 - 62162800","Manufacturer And Exporter Of Bromine–Based Speciality And Fine Chemicals Of The Highest Quality.","...More","Send Enquiry"
"HINDUSTHAN ADHESIVE AND CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/hindusthan-adhesive-and-chemicals-kolkata-146454.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700074","https://www.indianindustriesdirectory.com/pincode/kolkata/700074/chemicals.html",",INDIA","Contact Person: MR. KALYAN BANERJEE   / MR. AMITABHA BANERJEE","Tel No. 033 - 25483285/ 4755/ 3942","leaders in Binder and Adhesive products.","...More","Send Enquiry"
"VINAYAK PETROCHEMICAL INDUSTRIES","https://www.indianindustriesdirectory.com/companyinfo/vinayak-petrochemical-industries-aurangabad-148253.html","AURANGABAD","https://www.indianindustriesdirectory.com/district/aurangabad/chemicals.html","-","431007","https://www.indianindustriesdirectory.com/pincode/aurangabad/431007/chemicals.html",",INDIA","Contact Person: MR. SUDHIR PAWAR","Tel No.  - 9273335555","Trading of Chemicals, Sulphur Acid, Phosphoric Acid.","...More","Send Enquiry"
"RAINBOW TECHNO-CHEM INDUSTRIES LLP","https://www.indianindustriesdirectory.com/companyinfo/rainbow-techno-chem-industries-llp-pune-149264.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411018","https://www.indianindustriesdirectory.com/pincode/pune/411018/chemicals.html",",INDIA","Contact Person: MR.AMOL SARAF","Tel No.  - 7264067998","Authorised Promoter Of Kovax Abrasives, Supplier Of Industrial Painting Gun & Painting Equipments, S","...More","Send Enquiry"
"NARU EXPORTS AND IMPORTS","https://www.indianindustriesdirectory.com/companyinfo/naru-exports-and-imports-kollam-150347.html","KOLLAM","https://www.indianindustriesdirectory.com/district/kollam/chemicals.html","-","691536","https://www.indianindustriesdirectory.com/pincode/kollam/691536/chemicals.html",",INDIA","Contact Person: MR. BADISHA JAMAL MOHAMMED","Tel No.  - 9496979828","Exporter of Toluene, Solvents and Chemicals.","...More","Send Enquiry"
"PROCESS CHEMICALS CO.","https://www.indianindustriesdirectory.com/companyinfo/process-chemicals-co-kolkata-146207.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700001","https://www.indianindustriesdirectory.com/pincode/kolkata/700001/chemicals.html",",INDIA","Contact Person: MR. PIJUSH KANTI CHAKRABORTY","Tel No. 033 - 22481340 /  46025657","Manufacture Active Pharmaceutical Ingredients from basic chemicals","...More","Send Enquiry"
"SADGURU INDUSTRIES","https://www.indianindustriesdirectory.com/companyinfo/sadguru-industries-thane-152184.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","401107","https://www.indianindustriesdirectory.com/pincode/thane/401107/chemicals.html",",INDIA","Contact Person: MR. ASHUTOSH VISHWAKARMA","Tel No. 0 - 9969033801 / 9920014717","Chemical Mfg and supplier , Agro And Pharma Intermediate.","...More","Send Enquiry"
"PERKIN DYECHEM PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/perkin-dyechem-pvtltd-kolkata-146163.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700039","https://www.indianindustriesdirectory.com/pincode/kolkata/700039/chemicals.html",",INDIA","Contact Person:","Tel No. 033 - 23438583/0325","Dyestuff, Chemicals, Leather Goods.","...More","Send Enquiry"
"DWARKA DASS CHEMICAL CO.PVT LTD.","https://www.indianindustriesdirectory.com/companyinfo/dwarka-dass-chemical-copvt-ltd-kolkata-146697.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700001","https://www.indianindustriesdirectory.com/pincode/kolkata/700001/chemicals.html",",INDIA","Contact Person: MR. VIJAY SONTHALIA (DIRECTOR)","Tel No. 0 - 9830234861","Importers, Consignment Agents, Manufacturers Representatives, Stockists For All Kinds Of Industrial","...More","Send Enquiry"
"ARUCHEM PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/aruchem-pvtltd-chennai-148473.html","CHENNAI","https://www.indianindustriesdirectory.com/district/chennai/chemicals.html","-","600048","https://www.indianindustriesdirectory.com/pincode/chennai/600048/chemicals.html",",INDIA","Contact Person: MR. VIGNESH N.","Tel No.  - 7010261962","Suppliers, Exporters and Manufacturers of Chemicals, Industrial Chemicals, Chemical Powders, Calcium","...More","Send Enquiry"
"UNIDRUG INNOVATIVE PHARMA TECHNOLOGIES LTD.","https://www.indianindustriesdirectory.com/companyinfo/unidrug-innovative-pharma-technologies-ltd-indore-151842.html","INDORE","https://www.indianindustriesdirectory.com/district/indore/chemicals.html","-","452001","https://www.indianindustriesdirectory.com/pincode/indore/452001/chemicals.html",",INDIA","Contact Person: MR. JAINESH JAIN / MR. BHARAT JAIN","Tel No.  - 9893039176 / 9425317392","Bulk Drugs and Chemicals.","...More","Send Enquiry"
"ANUP ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/anup-enterprises-kolkata-146847.html","KOLKATA","https://www.indianindustriesdirectory.com/district/kolkata/chemicals.html","-","700001","https://www.indianindustriesdirectory.com/pincode/kolkata/700001/chemicals.html",",INDIA","Contact Person: MR. ARUN CHOUDHURY","Tel No. 0 - 9830062125","Trading in Chemicals & Minerals, Textile Auxiliaries, Import of chemical & Minerals.","...More","Send Enquiry"
"M LUNIAS BIOCHEM OVERSEAS PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/m-lunias-biochem-overseas-pvtltd-mumbai-147842.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400066","https://www.indianindustriesdirectory.com/pincode/mumbai/400066/chemicals.html",",INDIA","Contact Person: MR. ASHOK SHARMA","Tel No.  - 7972573340","Import and Export of Chemicals.","...More","Send Enquiry"
